case,phase,values,mt
CommunityGS,C,0,127
CommunityGS,C,1,128
CommunityGS,C,0,129
CommunityGS,C,0,130
CommunityGS,C,1,131
CommunityGS,C,0,132
CommunityGS,C,1,133
CommunityGS,C,1,134
CommunityGS,C,0,135
CommunityGS,C,0,136
CommunityGS,C,1,137
CommunityGS,C,0,138
CommunityGS,C,0,139
CommunityGS,C,1,140
CommunityGS,FU,0,141
CommunityGS,FU,0,142
CommunityGS,FU,0,143
CommunityGS,FU,1,144
CommunityGS,FU,0,145
CommunityGS,FU,1,146
CommunityGS,FU,0,147
CommunityGS,FU,0,148
CommunityGS,FU,1,149
CommunityGS,FU,0,150
CommunityGS,FU,0,151
CommunityGS,FU,1,152
CommunityGS,FU,0,153
CommunityGS,FU,1,154
CommunityGS,FU,0,155
CommunityGS,FU,0,156
CommunityGS,FU,0,157
CommunityGS,FU,1,158
CommunityGS,FU,0,159
CommunityGS,FU,0,160
CommunityGS,FU,1,161
CommunityGS,FU,1,162
CommunityGS,FU,0,163
CommunityGS,FU,0,164
CommunityGS,FU,1,165
CommunityGS,FU,0,166
CommunityGS,FU,0,167
CommunityGS,FU,1,168
CommunityGS,FU,0,169
CommunityGS,FU,0,170
CommunityGS,FU,1,171
CommunityGS,FU,0,172
CommunityGS,FU,0,173
CommunityGS,FU,0,174
CommunityGS,FU,1,175
CommunityGS,FU,0,176
CommunityGS,FU,0,177
CommunityGS,FU,0,178
CommunityGS,FU,1,179
CommunityGS,FU,1,180
CommunityGS,FU,0,181
CommunityGS,FU,1,182
CommunityGS,FU,1,183
CommunityGS,FU,0,184
CommunityGS,FU,0,185
CommunityGS,FU,1,186
CommunityGS,FU,0,187
CommunityGS,FU,0,188
CommunityGS,FU,0,189
CommunityGS,FU,0,190
CommunityGS,FU,0,191
CommunityGS,FU,0,192
CommunityGS,FU,0,193
CommunityGS,FU,0,194
CommunityGS,FU,1,195
CommunityGS,FU,0,196
Adherance2,A,1,1
Adherance2,A,0,2
Adherance2,A,0,3
Adherance2,A,0,4
Adherance2,A,0,5
Adherance2,A,0,6
Adherance2,A,0,7
Adherance2,A,0,8
Adherance2,A,0,9
Adherance2,A,0,10
Adherance2,A,0,11
Adherance2,A,0,12
Adherance2,A,0,13
Adherance2,A,0,14
Adherance2,A,1,15
Adherance2,A,0,16
Adherance2,A,0,17
Adherance2,A,0,18
Adherance2,A,0,19
Adherance2,A,0,20
Adherance2,A,0,21
Adherance2,A,0,22
Adherance2,A,0,23
Adherance2,A,0,24
Adherance2,A,0,25
Adherance2,A,0,26
Adherance2,A,0,27
Adherance2,A,0,28
Adherance2,B,1,29
Adherance2,B,0,30
Adherance2,B,0,31
Adherance2,B,0,32
Adherance2,B,0,33
Adherance2,B,0,34
Adherance2,B,0,35
Adherance2,B,0,36
Adherance2,B,0,37
Adherance2,B,0,38
Adherance2,B,0,39
Adherance2,B,0,40
Adherance2,B,0,41
Adherance2,B,0,42
Adherance2,B,1,43
Adherance2,B,0,44
Adherance2,B,0,45
Adherance2,B,0,46
Adherance2,B,0,47
Adherance2,B,0,48
Adherance2,B,0,49
Adherance2,B,0,50
Adherance2,B,0,51
Adherance2,B,0,52
Adherance2,B,0,53
Adherance2,B,0,54
Adherance2,B,0,55
Adherance2,B,0,56
Adherance2,B,1,57
Adherance2,B,0,58
Adherance2,B,0,59
Adherance2,B,0,60
Adherance2,B,0,61
Adherance2,B,0,62
Adherance2,B,0,63
Adherance2,B,0,64
Adherance2,B,0,65
Adherance2,B,0,66
Adherance2,B,0,67
Adherance2,B,0,68
Adherance2,B,0,69
Adherance2,B,0,70
Adherance2,A2,0,71
Adherance2,A2,0,72
Adherance2,A2,0,73
Adherance2,A2,0,74
Adherance2,A2,0,75
Adherance2,A2,0,76
Adherance2,A2,0,77
Adherance2,A2,0,78
Adherance2,A2,0,79
Adherance2,A2,0,80
Adherance2,A2,0,81
